chr	pos1	pos2	chr2	pos3	pos4	length	width	total	Mean	maxpixel	num	start	end	x	y	h	w	medpixel	region_idx	region_start	region_end	pvalue	Stripiness	Stripiness
chr19	1260800.0	1261200.0	chr19	1252401.0	1266201.0	13800.0	400.0	1709.0	12.384057971014492	95.0%	0.0	6256.0	6355.0	4.0	6.0	69.0	2.0	3.0	48	1260000	1262200	2.5141529077670893e-18	0.6679795194958645	0.6679795194958645
chr19	1275600.0	1276000.0	chr19	1267201.0	1279601.0	12400.0	400.0	918.0	7.403225806451613	95.0%	0.0	6330.0	6429.0	4.0	6.0	62.0	2.0	3.0	49	1274800	1277000	0.000256154253904	0.53125	0.53125
chr19	1279600.0	1280000.0	chr19	1275801.0	1284401.0	8600.0	400.0	838.0	9.744186046511627	95.0%	0.0	6350.0	6449.0	4.0	29.0	43.0	2.0	2.0	50	1278800	1281000	1.0373861126761846e-07	0.5582620144832127	0.5582620144832127
chr19	1291400.0	1291800.0	chr19	1283001.0	1299201.0	16200.0	400.0	807.0	4.981481481481482	95.0%	0.0	6409.0	6508.0	4.0	6.0	81.0	2.0	3.0	51	1290600	1292800	0.0459375412392019	0.7029616724738676	0.7029616724738676
chr19	1304400.0	1304800.0	chr19	1296001.0	1306201.0	10200.0	400.0	684.0	6.705882352941177	95.0%	0.0	6474.0	6573.0	4.0	6.0	51.0	2.0	2.0	52	1303600	1305800	0.0442624976974614	0.5638031693077564	0.5638031693077564
chr19	1339000.0	1339400.0	chr19	1330601.0	1344001.0	13400.0	400.0	767.0	5.723880597014926	95.0%	0.0	6647.0	6746.0	4.0	6.0	67.0	2.0	3.0	53	1338200	1340400	0.0142413710171424	0.6434563758389261	0.6434563758389261
chr19	1407000.0	1407400.0	chr19	1398601.0	1415201.0	16600.0	400.0	753.0	4.536144578313253	95.0%	0.0	6987.0	7086.0	4.0	6.0	83.0	2.0	2.0	54	1406200	1408400	2.2608209164425975e-14	0.5272727272727272	0.5272727272727272
chr19	1445000.0	1445400.0	chr19	1436601.0	1448801.0	12200.0	400.0	1110.0	9.098360655737704	95.0%	0.0	7177.0	7276.0	4.0	6.0	61.0	2.0	2.0	55	1444200	1446400	2.4962977810755367e-38	0.6277620396600566	0.6277620396600566
chr19	1457800.0	1458200.0	chr19	1449401.0	1462601.0	13200.0	400.0	819.0	6.204545454545454	95.0%	0.0	7241.0	7340.0	4.0	6.0	66.0	2.0	2.0	56	1457000	1459200	0.3270905031519814	0.6805324459234608	0.6805324459234608
chr19	1479000.0	1479400.0	chr19	1470601.0	1485401.0	14800.0	400.0	991.0	6.695945945945946	95.0%	0.0	7347.0	7446.0	4.0	6.0	74.0	2.0	2.0	57	1478200	1480400	9.043318764946609e-13	0.5759860788863109	0.5759860788863109
chr19	1490800.0	1491200.0	chr19	1482401.0	1498001.0	15600.0	400.0	1149.0	7.365384615384615	95.0%	0.0	7406.0	7505.0	4.0	6.0	78.0	2.0	3.0	58	1490000	1492200	2.618923242360372e-15	0.500217675228559	0.500217675228559
chr19	1507600.0	1508000.0	chr19	1501201.0	1512401.0	11200.0	400.0	1141.0	10.1875	95.0%	0.0	7490.0	7589.0	4.0	16.0	56.0	2.0	3.0	59	1506800	1509000	3.952907234191471e-09	0.6595744680851063	0.6595744680851063
chr19	1514000.0	1514400.0	chr19	1505601.0	1516001.0	10400.0	400.0	619.0	5.951923076923077	95.0%	0.0	7522.0	7621.0	4.0	6.0	52.0	2.0	2.0	60	1513200	1515400	0.0952359776857149	0.504071661237785	0.504071661237785
chr19	1521400.0	1521800.0	chr19	1513001.0	1527601.0	14600.0	400.0	730.0	5.0	95.0%	0.0	7559.0	7658.0	4.0	6.0	73.0	2.0	2.0	61	1520600	1522800	0.0557233765595568	0.6834264432029795	0.6834264432029795
chr19	1552000.0	1552400.0	chr19	1550401.0	1556601.0	6200.0	400.0	595.0	9.596774193548388	95.0%	0.0	7712.0	7811.0	4.0	40.0	31.0	2.0	2.0	62	1551200	1553400	0.0919860946287859	0.5814634146341463	0.5814634146341463
chr19	1566400.0	1566800.0	chr19	1558001.0	1566801.0	8800.0	400.0	713.0	8.102272727272727	95.0%	0.0	7784.0	7883.0	4.0	6.0	44.0	2.0	2.0	63	1565600	1567800	2.9115048118981914e-25	0.5265878877400295	0.5265878877400295
chr19	1576600.0	1577000.0	chr19	1568201.0	1577801.0	9600.0	400.0	847.0	8.822916666666666	95.0%	0.0	7835.0	7934.0	4.0	6.0	48.0	2.0	3.0	64	1575800	1578000	1.326706718051715e-06	0.5886792452830188	0.5886792452830188
chr19	1592800.0	1593200.0	chr19	1591401.0	1599801.0	8400.0	400.0	547.0	6.511904761904762	95.0%	0.0	7916.0	8015.0	4.0	41.0	42.0	2.0	2.0	65	1592000	1594200	0.6280319516450514	0.5032198712051518	0.5032198712051518
chr19	1605200.0	1605600.0	chr19	1596801.0	1608601.0	11800.0	400.0	644.0	5.4576271186440675	95.0%	0.0	7978.0	8077.0	4.0	6.0	59.0	2.0	2.0	66	1604400	1606600	0.0004424034653719	0.5136	0.5136
chr19	1681000.0	1681400.0	chr19	1672601.0	1683001.0	10400.0	400.0	700.0	6.730769230769231	95.0%	0.0	8357.0	8456.0	4.0	6.0	52.0	2.0	2.0	67	1680200	1682400	0.0009748470934585	0.5672609400324149	0.5672609400324149
chr19	1785200.0	1785600.0	chr19	1783801.0	1787001.0	3200.0	400.0	487.0	15.21875	95.0%	0.0	8878.0	8977.0	4.0	41.0	16.0	2.0	2.0	68	1784400	1786600	0.0623466354381575	0.4547152194211017	0.45471521942110177
chr19	1812800.0	1813200.0	chr19	1804401.0	1818001.0	13600.0	400.0	1150.0	8.455882352941176	95.0%	0.0	9016.0	9115.0	4.0	6.0	68.0	2.0	2.0	69	1812000	1814200	4.539704591943569e-07	0.57356608478803	0.57356608478803
chr19	1837600.0	1838000.0	chr19	1829201.0	1840001.0	10800.0	400.0	876.0	8.11111111111111	95.0%	0.0	9140.0	9239.0	4.0	6.0	54.0	2.0	2.0	70	1836800	1839000	0.0045932485349374	0.5797485109199206	0.5797485109199206
chr19	1848400.0	1848800.0	chr19	1840001.0	1855601.0	15600.0	400.0	670.0	4.294871794871795	95.0%	0.0	9194.0	9293.0	4.0	6.0	78.0	2.0	2.0	71	1847600	1849800	4.100564949985839e-05	0.5263157894736842	0.5263157894736842
chr19	1853200.0	1853600.0	chr19	1844801.0	1855001.0	10200.0	400.0	725.0	7.107843137254902	95.0%	0.0	9218.0	9317.0	4.0	6.0	51.0	2.0	2.0	72	1852400	1854600	1.84370716394002e-07	0.5304548959136469	0.5304548959136469
chr19	1855200.0	1855600.0	chr19	1848801.0	1862001.0	13200.0	400.0	1431.0	10.840909090909092	95.0%	0.0	9228.0	9327.0	4.0	16.0	66.0	2.0	2.0	73	1854400	1856600	6.08011615977106e-32	0.69873046875	0.69873046875
chr19	1857200.0	1857600.0	chr19	1855801.0	1862201.0	6400.0	400.0	744.0	11.625	95.0%	0.0	9238.0	9337.0	4.0	41.0	32.0	2.0	3.0	74	1856400	1858600	0.7637324264541665	0.6205170975813178	0.6205170975813178
chr19	1864600.0	1865000.0	chr19	1856201.0	1870601.0	14400.0	400.0	1271.0	8.82638888888889	95.0%	0.0	9275.0	9374.0	4.0	6.0	72.0	2.0	2.0	75	1863800	1866000	1.503896797452235e-11	0.6657880864522931	0.6657880864522931
chr19	1876000.0	1876400.0	chr19	1867601.0	1885001.0	17400.0	400.0	1052.0	6.045977011494253	95.0%	0.0	9332.0	9431.0	4.0	6.0	87.0	2.0	2.0	76	1875200	1877400	2.722505414138075e-16	0.6444308445532436	0.6444308445532436
chr19	1882000.0	1882400.0	chr19	1873601.0	1884401.0	10800.0	400.0	627.0	5.805555555555555	95.0%	0.0	9362.0	9461.0	4.0	6.0	54.0	2.0	3.0	77	1881200	1883400	0.0094846936166258	0.6517671517671517	0.6517671517671517
chr19	1885200.0	1885600.0	chr19	1876801.0	1887601.0	10800.0	400.0	378.0	3.5	95.0%	0.0	9378.0	9477.0	4.0	6.0	54.0	2.0	2.0	78	1884400	1886600	0.0410429311541301	0.4536585365853658	0.45365853658536587
chr19	1929200.0	1929600.0	chr19	1920801.0	1935401.0	14600.0	400.0	967.0	6.623287671232877	95.0%	0.0	9598.0	9697.0	4.0	6.0	73.0	2.0	2.0	79	1928400	1930600	8.93342101487059e-19	0.5904936014625228	0.5904936014625228
chr19	1940600.0	1941000.0	chr19	1932201.0	1945801.0	13600.0	400.0	690.0	5.073529411764706	95.0%	0.0	9655.0	9754.0	4.0	6.0	68.0	2.0	2.0	80	1939800	1942000	2.023352759358781e-06	0.5515587529976019	0.5515587529976019
chr19	1976200.0	1976600.0	chr19	1967801.0	1980801.0	13000.0	400.0	590.0	4.538461538461538	95.0%	0.0	9833.0	9932.0	4.0	6.0	65.0	2.0	2.0	81	1975400	1977600	0.0616675844946406	0.6206533192834562	0.6206533192834562
chr19	1992600.0	1993000.0	chr19	1984201.0	1997401.0	13200.0	400.0	669.0	5.068181818181818	95.0%	0.0	9915.0	10014.0	4.0	6.0	66.0	2.0	2.0	82	1991800	1994000	1.750075877637402e-06	0.6126373626373627	0.6126373626373627
chr19	2016000.0	2016400.0	chr19	2007601.0	2020801.0	13200.0	400.0	621.0	4.704545454545454	95.0%	0.0	10032.0	10131.0	4.0	6.0	66.0	2.0	2.0	83	2015200	2017400	0.9151234019337876	0.5070306038047974	0.5070306038047974
chr19	2042000.0	2042400.0	chr19	2033601.0	2051001.0	17400.0	400.0	1479.0	8.5	95.0%	0.0	10162.0	10261.0	4.0	6.0	87.0	2.0	3.0	84	2041200	2043400	6.339996298772672e-18	0.6711956521739131	0.6711956521739131
chr19	2064400.0	2064800.0	chr19	2056001.0	2069601.0	13600.0	400.0	1020.0	7.5	95.0%	0.0	10274.0	10373.0	4.0	6.0	68.0	2.0	2.0	85	2063600	2065800	0.0004320434992582	0.6868686868686869	0.6868686868686869
chr19	2096200.0	2096600.0	chr19	2087801.0	2103601.0	15800.0	400.0	1315.0	8.322784810126583	95.0%	0.0	10433.0	10532.0	4.0	6.0	79.0	2.0	3.0	86	2095400	2097600	4.1636815073438157e-20	0.4773960216998191	0.47739602169981915
chr19	2208600.0	2209000.0	chr19	2200201.0	2210201.0	10000.0	400.0	601.0	6.01	95.0%	0.0	10995.0	11094.0	4.0	6.0	50.0	2.0	2.0	87	2207800	2210000	0.017609092109622	0.5429087624209575	0.5429087624209575
chr19	2236200.0	2236600.0	chr19	2227801.0	2241401.0	13600.0	400.0	831.0	6.110294117647059	95.0%	0.0	11133.0	11232.0	4.0	6.0	68.0	2.0	2.0	88	2235400	2237600	3.28048718790316e-05	0.4659154929577465	0.4659154929577465
chr19	2249200.0	2249600.0	chr19	2240801.0	2254001.0	13200.0	400.0	905.0	6.856060606060606	95.0%	0.0	11198.0	11297.0	4.0	6.0	66.0	2.0	2.0	89	2248400	2250600	1.1861793138853852e-09	0.7154150197628458	0.7154150197628458
chr19	2254800.0	2255200.0	chr19	2246401.0	2256801.0	10400.0	400.0	692.0	6.653846153846154	95.0%	0.0	11226.0	11325.0	4.0	6.0	52.0	2.0	2.0	90	2254000	2256200	0.0352531092299446	0.596551724137931	0.596551724137931
chr19	2269000.0	2269400.0	chr19	2262201.0	2273601.0	11400.0	400.0	795.0	6.973684210526316	95.0%	0.0	11297.0	11396.0	4.0	14.0	57.0	2.0	2.0	91	2268200	2270400	1.9840830105017218e-15	0.5229235880398672	0.5229235880398672
chr19	2305600.0	2306000.0	chr19	2304601.0	2309601.0	5000.0	400.0	540.0	10.8	95.0%	0.0	11480.0	11579.0	4.0	43.0	25.0	2.0	2.0	92	2304800	2307000	0.0004141071460337	0.4886363636363636	0.48863636363636365
chr19	2385000.0	2385400.0	chr19	2376601.0	2391601.0	15000.0	400.0	731.0	4.873333333333333	95.0%	0.0	11877.0	11976.0	4.0	6.0	75.0	2.0	2.0	93	2384200	2386400	4.9856495851271824e-11	0.5080251221214236	0.5080251221214236
chr19	2427600.0	2428000.0	chr19	2419201.0	2432001.0	12800.0	400.0	1183.0	9.2421875	95.0%	0.0	12090.0	12189.0	4.0	6.0	64.0	2.0	2.0	94	2426800	2429000	6.486139569832377e-25	0.5852809547488812	0.5852809547488812
chr19	2461600.0	2462000.0	chr19	2453201.0	2469401.0	16200.0	400.0	966.0	5.962962962962963	95.0%	0.0	12260.0	12359.0	4.0	6.0	81.0	2.0	2.0	95	2460800	2463000	5.658392788577279e-16	0.6520566419420094	0.6520566419420094
chr19	2475600.0	2476000.0	chr19	2467201.0	2478201.0	11000.0	400.0	754.0	6.8545454545454545	95.0%	0.0	12330.0	12429.0	4.0	6.0	55.0	2.0	2.0	96	2474800	2477000	1.2684961134234736e-08	0.4562575941676792	0.45625759416767925
chr19	2495200.0	2495600.0	chr19	2486801.0	2503401.0	16600.0	400.0	1137.0	6.849397590361446	95.0%	0.0	12428.0	12527.0	4.0	6.0	83.0	2.0	2.0	97	2494400	2496600	5.3706219947976896e-11	0.6185286103542235	0.6185286103542235
chr19	2503600.0	2504000.0	chr19	2495201.0	2508801.0	13600.0	400.0	707.0	5.198529411764706	95.0%	0.0	12470.0	12569.0	4.0	6.0	68.0	2.0	2.0	98	2502800	2505000	1.029347322452042e-07	0.5683279742765274	0.5683279742765274
chr19	2526800.0	2527200.0	chr19	2518401.0	2532401.0	14000.0	400.0	707.0	5.05	95.0%	0.0	12586.0	12685.0	4.0	6.0	70.0	2.0	2.0	99	2526000	2528200	0.7191957631831425	0.7027833001988072	0.7027833001988072
chr19	2543400.0	2543800.0	chr19	2535001.0	2549201.0	14200.0	400.0	844.0	5.943661971830986	95.0%	0.0	12669.0	12768.0	4.0	6.0	71.0	2.0	2.0	100	2542600	2544800	8.729059782999791e-09	0.6051687006460876	0.6051687006460876
chr19	2555800.0	2556200.0	chr19	2554401.0	2558001.0	3600.0	400.0	532.0	14.77777777777778	95.0%	0.0	12731.0	12830.0	4.0	41.0	18.0	2.0	2.0	101	2555000	2557200	4.097529642827541e-06	0.4912280701754385	0.49122807017543857
chr19	2624600.0	2625000.0	chr19	2616201.0	2627201.0	11000.0	400.0	707.0	6.427272727272728	95.0%	0.0	13075.0	13174.0	4.0	6.0	55.0	2.0	2.0	102	2623800	2626000	0.1614332871111812	0.5855096882898062	0.5855096882898062
chr19	2648600.0	2649000.0	chr19	2640201.0	2654201.0	14000.0	400.0	537.0	3.835714285714286	95.0%	0.0	13195.0	13294.0	4.0	6.0	70.0	2.0	2.0	103	2647800	2650000	0.6634265784106081	0.4781834372217275	0.4781834372217275
chr19	2702600.0	2703000.0	chr19	2694201.0	2711601.0	17400.0	400.0	590.0	3.3908045977011496	95.0%	0.0	13465.0	13564.0	4.0	6.0	87.0	2.0	2.0	104	2701800	2704000	4.27503374651921e-05	0.4808163265306122	0.48081632653061224
chr19	2717800.0	2718200.0	chr19	2716601.0	2722201.0	5600.0	400.0	480.0	8.571428571428571	95.0%	0.0	13541.0	13640.0	4.0	42.0	28.0	2.0	2.0	105	2717000	2719200	0.0596315091954327	0.5587892898719441	0.5587892898719441
chr19	2722800.0	2723200.0	chr19	2714401.0	2729601.0	15200.0	400.0	868.0	5.7105263157894735	95.0%	0.0	13566.0	13665.0	4.0	6.0	76.0	2.0	2.0	106	2722000	2724200	2.7123024443280256e-06	0.6415373244641537	0.6415373244641537
